,CityName,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
0,Jega,12.22,4.38,72.09,88,100,10.02,NG,1596833027
1,Ancud,-41.87,-73.82,51.01,100,75,11.41,CL,1596833048
2,Rivadavia,-33.19,-68.46,59.0,24,96,5.82,AR,1596833048
3,Bengkulu,-3.8,102.27,76.03,91,85,3.29,ID,1596833049
4,Rikitea,-23.12,-134.97,69.71,72,76,18.45,PF,1596833050
5,Tuktoyaktuk,69.45,-133.04,60.8,77,75,16.11,CA,1596833050
6,Warrnambool,-38.38,142.48,52.0,80,98,7.0,AU,1596833051
7,Jumla,29.27,82.18,62.08,70,31,1.07,NP,1596833051
8,New Norfolk,-42.78,147.06,41.0,83,74,1.5,AU,1596833052
9,Coyhaique,-45.58,-72.07,42.8,85,85,3.36,CL,1596833051
10,Bredasdorp,-34.53,20.04,46.4,87,0,1.12,ZA,1596833053
11,Great Bend,38.36,-98.76,95.0,55,1,14.99,US,1596833049
12,Castro,-24.79,-50.01,59.72,66,0,3.02,BR,1596833055
13,Dikson,73.51,80.55,46.06,100,100,12.12,RU,1596833055
14,Mar del Plata,-38.0,-57.56,50.0,81,2,8.05,AR,1596832998
15,Lavrentiya,65.58,-171.0,44.51,66,100,3.4,RU,1596833056
16,Sydney,-33.87,151.21,53.6,100,75,6.93,AU,1596832884
17,Fortuna,40.6,-124.16,70.0,45,2,8.01,US,1596833058
18,São Miguel do Araguaia,-13.28,-50.16,82.09,31,0,3.13,BR,1596833058
19,Atuona,-9.8,-139.03,78.8,74,44,22.97,PF,1596833059
20,Iqaluit,63.75,-68.51,48.2,87,20,6.93,CA,1596833059
21,Krasnoarmeysk,51.02,45.7,73.0,58,35,8.99,RU,1596833060
22,Vao,-22.67,167.48,69.3,67,64,8.14,NC,1596833061
23,Balaipungut,1.05,101.28,76.39,92,82,0.6,ID,1596833061
24,Saint-Philippe,-21.36,55.77,66.0,77,90,4.7,RE,1596833062
25,Nānākuli,21.39,-158.15,86.0,62,75,8.05,US,1596833064
26,Puerto del Rosario,28.5,-13.86,75.2,69,20,17.22,ES,1596833064
27,Ponta do Sol,32.67,-17.1,73.4,73,20,2.24,PT,1596833065
28,Padang,-0.95,100.35,78.24,64,86,2.98,ID,1596833066
29,Seoul,37.57,126.98,73.4,94,90,4.09,KR,1596833052
30,Doctor Juan León Mallorquín,-25.4,-55.27,84.2,30,35,8.05,PY,1596833067
31,Upernavik,72.79,-56.15,41.63,68,84,9.8,GL,1596833068
32,Norman Wells,65.28,-126.83,60.8,87,90,3.36,CA,1596833068
33,Cherskiy,68.75,161.3,47.1,87,100,14.05,RU,1596833069
34,Araguaína,-7.19,-48.21,86.77,29,0,4.03,BR,1596832984
35,Hobart,-42.88,147.33,42.8,93,75,3.36,AU,1596833054
36,Faya,18.39,42.45,68.0,88,40,6.93,SA,1596833071
37,Hobyo,5.35,48.53,76.6,76,3,27.83,SO,1596833071
38,Kapaa,22.08,-159.32,84.99,78,75,12.75,US,1596833072
39,Punta Arenas,-53.15,-70.92,44.6,78,40,13.87,CL,1596833072
40,Lebu,-37.62,-73.65,50.65,80,100,12.71,CL,1596833073
